Generation,Cost
1,1865
2,1865
3,1865
4,1865
5,1491
6,1456
7,1456
8,1456
9,1456
10,1456
11,1456
12,1482
13,1482
14,1482
15,1482
16,1482
17,1482
18,1482
19,1345
20,1348
21,1348
22,1348
23,1348
24,1348
25,1348
26,1348
27,1348
28,1348
29,1348
30,1348
31,1348
32,1348
33,1322
34,1322
35,1322
36,1322
37,1322
38,1322
39,1322
40,1322
41,1322
42,1322
43,1322
44,1310
45,1310
46,1261
47,1261
48,1261
49,1261
50,1261
51,1232
52,1232
53,1232
54,1232
55,1232
56,1232
57,1232
58,1232
59,1232
60,1232
61,1232
62,1232
63,1232
64,1232
65,1232
66,1232
67,1232
68,1232
69,1232
70,1232
71,1232
72,1232
73,1232
74,1232
75,1232
76,1232
77,1232
78,1232
79,1232
80,1232
81,1232
82,1232
83,1232
84,1232
85,1232
86,1232
87,1232
88,1232
89,1232
90,1232
91,1232
92,1232
93,1232
94,1232
95,1232
96,1232
97,1232
98,1232
99,1232
100,1232
101,1232
102,1232
103,1232
104,1232
105,1232
106,1232
107,1232
108,1232
109,1232
110,1232
111,1232
112,1232
113,1232
114,1232
115,1232
116,1232
117,1232
118,1232
119,1232
120,1232
121,1232
122,1232
123,1232
124,1232
125,1232
126,1232
127,1232
128,1232
129,1232
130,1232
131,1232
132,1232
133,1232
134,1232
135,1232
136,1232
137,1232
138,1232
139,1232
140,1232
141,1232
142,1232
143,1232
144,1232
145,1232
146,1232
147,1232
148,1232
149,1232
150,1232
151,1232
152,1232
153,1232
154,1232
155,1232
156,1232
157,1232
158,1232
159,1232
160,1232
161,1232
162,1232
163,1232
164,1232
165,1232
166,1232
167,1232
168,1232
169,1232
170,1232
171,1232
172,1232
173,1232
174,1232
175,1232
176,1232
177,1232
178,1232
179,1232
180,1232
181,1232
182,1232
183,1232
184,1232
185,1232
186,1232
187,1232
188,1232
189,1232
190,1232
191,1232
192,1232
193,1232
194,1232
195,1232
196,1232
197,1232
198,1232
199,1232
200,1232
201,1232
202,1232
203,1232
204,1232
205,1232
206,1232
207,1232
208,1232
209,1232
210,1232
211,1232
212,1232
213,1232
214,1232
215,1232
216,1232
217,1232
218,1232
219,1232
220,1232
221,1232
222,1232
223,1232
224,1232
225,1232
226,1232
227,1232
228,1232
229,1232
230,1232
231,1232
232,1232
233,1232
234,1232
235,1232
236,1232
237,1232
238,1232
239,1232
240,1232
241,1232
242,1232
243,1232
244,1232
245,1232
246,1232
247,1232
248,1232
249,1232
250,1232
251,1230
252,1230
253,1231
254,1231
255,1231
256,1204
257,1204
258,1204
259,1204
260,1204
261,1204
262,1200
263,1200
264,1200
265,1200
266,1200
267,1200
268,1200
269,1200
270,1200
271,1200
272,1200
273,1200
274,1200
275,1200
276,1200
277,1200
278,1200
279,1200
280,1200
281,1200
282,1200
283,1200
284,1200
285,1200
286,1200
287,1200
288,1200
289,1200
290,1200
291,1200
292,1200
293,1200
294,1200
295,1200
296,1200
297,1200
298,1200
299,1200
300,1200
301,1200
302,1200
303,1200
304,1200
305,1200
306,1200
307,1200
308,1200
309,1204
310,1204
311,1204
312,1204
313,1204
314,1204
315,1204
316,1204
317,1204
318,1204
319,1204
320,1204
321,1204
322,1204
323,1204
324,1204
325,1204
326,1204
327,1204
328,1204
329,1204
330,1204
331,1204
332,1204
333,1204
334,1204
335,1204
336,1204
337,1204
338,1204
339,1204
340,1204
341,1204
342,1204
343,1204
344,1204
345,1204
346,1204
347,1204
348,1204
349,1204
350,1204
351,1204
352,1204
353,1204
354,1204
355,1204
356,1204
357,1204
358,1204
359,1204
360,1204
361,1204
362,1204
363,1204
364,1204
365,1204
366,1204
367,1204
368,1204
369,1204
370,1204
371,1204
372,1204
373,1204
374,1204
375,1204
376,1204
377,1204
378,1204
379,1204
380,1204
381,1204
382,1204
383,1204
384,1204
385,1204
386,1204
387,1204
388,1204
389,1204
390,1204
391,1204
392,1204
393,1204
394,1204
395,1204
396,1204
397,1204
398,1204
399,1204
400,1204
401,1204
402,1204
403,1204
404,1204
405,1204
406,1204
407,1204
408,1204
409,1204
410,1204
411,1204
412,1204
413,1204
414,1204
415,1204
416,1204
417,1204
418,1204
419,1204
420,1204
421,1204
422,1204
423,1204
424,1204
425,1204
426,1204
427,1204
428,1204
429,1204
430,1204
431,1204
432,1204
433,1204
434,1204
435,1204
436,1204
437,1204
438,1204
439,1204
440,1204
441,1204
442,1204
443,1204
444,1204
445,1204
446,1204
447,1204
448,1204
449,1204
450,1204
451,1204
452,1204
453,1204
454,1204
455,1204
456,1204
457,1204
458,1204
459,1204
460,1204
461,1204
462,1204
463,1204
464,1204
465,1204
466,1204
467,1204
468,1204
469,1204
470,1204
471,1204
472,1204
473,1204
474,1204
475,1204
476,1204
477,1204
478,1204
479,1204
480,1204
481,1204
482,1204
483,1204
484,1204
485,1204
486,1204
487,1204
488,1204
489,1204
490,1204
491,1204
492,1204
493,1204
494,1204
495,1204
496,1204
497,1204
498,1204
499,1204
500,1204
